comfort,mental_health_pre,mental_health_since,wellbeing_since,gender,age,partner,species,loneliness_pre,loneliness_since
45,21,21,18,female,25_34,not_living_partner,dog,4,6
48,22,21,19,female,25_34,living_partner,dog,5,4
44,21,21,14,female,45_54,living_partner,dog,7,6
46,21,21,19,female,35_44,living_partner,dog,3,5
43,22,22,12,male,45_54,living_partner,cat,4,4
46,15,20,18,female,25_34,living_partner,cat,8,3
41,20,20,15,female,45_54,living_partner,cat,6,6
43,21,23,24,male,65_70,living_partner,cat,6,9
48,19,19,21,female,45_54,living_partner,dog,3,3
48,23,22,12,female,65_70,living_partner,dog,3,3
46,21,20,18,female,45_54,not_living_partner,cat,4,5
48,20,21,11,female,55_64,living_partner,dog,4,4
48,18,19,21,female,25_34,not_living_partner,dog,6,6
48,18,18,16,female,35_44,not_living_partner,cat,3,3
48,18,17,23,female,25_34,living_partner,dog,6,4
40,20,20,17,female,35_44,living_partner,dog,4,4
42,22,22,18,female,55_64,living_partner,cat,6,6
48,20,21,14,female,25_34,living_partner,dog,3,3
46,20,20,17,female,25_34,living_partner,cat,8,6
48,20,20,17,female,35_44,living_partner,dog,5,6
48,20,17,17,female,25_34,not_living_partner,dog,3,4
48,21,19,20,female,35_44,not_living_partner,cat,4,7
48,22,20,19,female,45_54,not_living_partner,cat,9,9
48,23,19,20,female,55_64,not_living_partner,cat,7,7
44,20,21,23,female,55_64,not_living_partner,dog,7,8
39,22,21,20,female,35_44,living_partner,cat,4,4
40,21,21,17,female,45_54,not_living_partner,dog,3,3
41,17,17,14,male,35_44,living_partner,cat,6,3
38,20,19,14,female,25_34,living_partner,dog,3,6
43,19,18,28,male,25_34,living_partner,dog,8,9
48,18,19,19,female,70_over,living_partner,dog,9,8
48,15,17,17,female,18_24,not_living_partner,cat,5,8
33,20,20,23,female,25_34,living_partner,dog,6,8
47,21,21,11,male,45_54,living_partner,dog,3,3
48,21,18,17,female,55_64,living_partner,cat,6,7
47,17,20,26,male,35_44,not_living_partner,dog,6,8
47,18,16,24,female,18_24,not_living_partner,dog,5,6
